id,title,publishedAt,viewCount,likeCount,commentCount
8YxI-EAHY48,REVIEW VOICE NOTE KALIAN !!!,2025-12-11T01:33:30Z,203,44,3
tJ5pffQQmBQ,MINECRAFT | GOT OUR PICKAXE SWINGING FROM SIDE TO SIDE,2025-12-03T02:38:25Z,141,35,1
kJfF8OzpACQ,GTAV RP | Unknown #RyokenBY #DayDreamsRP,2025-11-30T17:26:46Z,261,49,1
_1PdzQEQbp0,MERINDINK,2025-11-26T23:45:33Z,1483,124,4
ply9yB1OdVQ,GTAV RP | Hai- #RyokenBY #DayDreamsRP,2025-11-25T05:20:00Z,371,47,0
IDrewaVHs2s,MINECRAFT | SO WE BACK IN THE MINE,2025-11-23T01:55:24Z,142,29,2
69msxJLKsm4,MINECRAFT | CREEPER? OWWW MAANN...,2025-11-20T14:27:23Z,157,40,2
Q8GEKM-GXjE,CRYSIS | KITA PERANG LAWAN KORUT,2025-11-13T04:07:02Z,271,37,2
LqBZfrsC42w,PEAK | MAP BARU OOYY,2025-11-08T14:57:23Z,189,47,1
Fiw_b8EzQQk,OOOOOOO,2025-10-28T08:32:15Z,2327,167,5
xvRSjxGhLmQ,GTAV RP | Eh???? #RyokenBY #shinsekairp,2025-10-25T18:14:27Z,681,112,0
WWu2GegEz4c,PEAK | PEAK TAPI SOLO (LAGI),2025-10-20T02:29:54Z,195,37,2
26LfMMFbTfI,ROBLOX | Ngegunung,2025-10-19T02:51:35Z,161,44,1
SjydQs6mvHQ,PEAK | PEAK TAPI SOLO,2025-10-16T02:30:36Z,167,43,2
xF1snivOmbU,NYOBAIN (LAGI) MAIN DELTA,2025-10-15T02:31:10Z,140,30,1
RMzOeO0OvyI,GWEH BALEK (Sembentar ajah),2025-10-13T13:45:40Z,231,60,2
jyl5QwjSxoY,PEAK | PEAK SAMA MEMBERSHIP,2025-09-29T16:10:38Z,326,67,2
LdTcsQFww7c,UDAH LAMA KITA GA NYANYI~,2025-09-28T02:53:56Z,267,54,3
vnTWzKdAHvA,DAY 1 DI INDO VOICE #robloxindonesia #roblox,2025-09-24T09:32:30Z,2183,101,5
7a1RtzPtjlI,¡ MANCING ! - Nara Maususu #NoirRoleplay,2025-09-23T16:06:59Z,1005,150,2
HWjYFPQC3uc,"ROBLOX | AKU SAYANG ROBLOK, ROBLOK SAYANG AKU",2025-09-20T01:59:34Z,257,48,2
t-Tc5lFwUwg,ROBLOX | ROBLOOK JANGAN LAH PERGIII,2025-09-18T02:07:57Z,280,57,0
zCuqI9vs3W4,REPO | REPO SEKAMPUNG WAK,2025-09-10T16:02:03Z,520,76,2
26-KFEVtkko,ROBLOX | PERTAMA KALI MENDAKI DI ROBLOX,2025-09-05T02:16:26Z,315,74,3
QEaY1SIHgRY,"BLOODMONEY | INI GAME SIMPEL, TAPI....",2025-09-03T01:24:44Z,302,70,0
7U5fdC-dMHo,BMTH - KINGSLAYER Short Cover ft. @MaudySukaigaCh,2025-09-01T06:08:25Z,691,91,12
5EWvg3jRbXE,¡ HUNTER ! - Nara Maususu #NoirRoleplay,2025-08-28T03:06:45Z,783,125,1
i0wWXBrqe2A,WHAT FEELING ? - Nara Maususu #NoirRoleplay,2025-08-23T18:06:35Z,943,179,1
58H0TepFqzc,Kumaha Damang - Nara Maususu #NoirRoleplay,2025-08-21T17:35:27Z,616,151,0
kieirvD93T4,¡ 18 ! - Nara Maususu #NoirRoleplay,2025-08-18T16:20:34Z,1272,191,0
spBgCXJBR1M,¡ NCPD YAHUUT ! - Nara Maususu #NoirRoleplay,2025-08-16T18:53:26Z,1258,179,5
KwHyFhngb_Q,¡ ERROR ! - Nara Maususu #NoirRoleplay,2025-08-15T19:32:46Z,1444,161,0
ZVw38r9wXQY,¡ Nyanyi Kah??? ! - Nara Maususu #NoirRoleplay,2025-08-14T03:41:05Z,762,119,1
iYqpvp2UAB8,【#MeroHaru25】Suara untuk Rumah Bulan!!,2025-08-09T12:37:05Z,1020,196,0
_5XobX0lw2g,PEAK | ANOMALI KOTA NYOBA MENDAKI,2025-08-08T18:20:14Z,786,117,0
qK9bdqJ8lsU,MY FEELING ? - Nara Maususu #NoirRoleplay,2025-08-05T18:11:11Z,2033,240,0
y8407XHOZ8k,PEAK | KAMU JATUH KAMU HARAM,2025-07-29T16:06:51Z,967,118,3
06gFrUCf2OI,¡ LEARN ! - Nara Maususu #NoirRoleplay,2025-07-25T17:34:40Z,1922,222,3
z6d_yOh3Rig,【#RataSetahun】GA KERASA UDAH BOKEK SETAHUN 🔥🔥🔥,2025-07-20T14:21:32Z,826,139,4
bwSAkEW285A,¡ BELIVE ! - Nara Maususu #NoirRoleplay,2025-07-18T18:34:45Z,3053,333,1
BYXCNQDRfCA,¡ PUZZLE? ! - Nara Maususu #NoirRoleplay,2025-07-15T19:19:15Z,2471,335,0
EZeOIhaVH9I,¡ CAN YOU? ! - Nara Maususu #NoirRoleplay,2025-07-13T18:37:25Z,2314,288,1
Rfch51I9-pY,【HAND CAM】LIVE DADAKAN ISINYA SPEEDRUN SAKIT PERUT,2025-07-12T20:00:03Z,1016,155,2
Vmd0K4_7lyY,¡ GARUT TEH ! - Nara Maususu #NoirRoleplay,2025-07-09T19:04:14Z,2692,375,0
PZmPMgAfu70,Renai Circulation | ver. Saku Kurata 【MAHA5】,2025-07-08T07:51:08Z,1127,208,26
zXLnvo752hI,¡ POLISI GABUT ! - Nara Maususu #NoirRoleplay,2025-07-07T19:51:39Z,1591,253,1
dJMQ8qOq9RU,¡ ??? ! #NoirRoleplay,2025-06-28T18:09:22Z,2616,339,0
DQQNyLYDDWI,¡ CRASH ! #NoirRoleplay,2025-06-27T18:43:50Z,2404,306,0
uff_VRzumA4,PERAMA KALI MAIN WUWA,2025-06-26T03:55:20Z,369,89,1
7DkSTUjf2Rk,¡ THREE ! #NoirRoleplay,2025-06-23T19:38:41Z,2489,333,0
_gX44GYiDcs,¡ TWO ! #NoirRoleplay,2025-06-21T18:14:25Z,2147,333,1
zrk8Sp6b3oU,うぉんちゅーばっど / jon-YAKITORY (audio) | covered by Saku Kurata 【MAHA5】,2025-06-21T02:13:20Z,818,136,21
UiObW48qcDA,#HBDSAKU | REVIEW HADIAH DARI KALIAN~,2025-06-20T01:09:32Z,389,81,3
4j73EN_6pPA,R.E.P.O | PENYAKIT REPO GILA,2025-06-17T15:45:35Z,372,66,0
224UKiuuQjc,#HBDSAKU | TUTORIAL NAMBAH UMUR | BirthDay Stream~,2025-06-15T15:18:16Z,1148,252,1
