id,title,publishedAt,viewCount,likeCount,commentCount
LVCq7n3Pgwk,【GAMING | MLBB】Main Sama Yokku Mabaru! Ayuk Main Bareng Sini @yukitayokku,2025-12-12T11:16:03Z,510,84,0
1d5lao6fEAs,【#RANDOMSTREAM】Ohafuyu! Weekend Kalian Gimana?,2025-12-07T09:40:41Z,964,145,1
yGn00qIGRW0,【GAMING | GENSHIN IMPACT】Gacha Durin Setelah Quest Archon!,2025-12-05T18:30:06Z,689,102,0
3HbJV4AwYak,【GAMING | MLBB】Temenin Fuyu Push Rank! Sambil Sakit Dikit Ga Ngaruh!!,2025-12-04T12:46:19Z,1277,155,0
uQigZie5XF4,"❄️Beda PONGO 760 V2 vs Laptop Lain, Worth It Gak Sih?! ❄️",2025-12-02T09:08:25Z,4727,582,19
5lJ_-13pa8Q,【GAMING | MLBB】YEYY! AKU BISA MRO! AYUK TEMENIN FUYU MRO!,2025-11-28T17:07:06Z,835,115,0
tQEJhvAHXUY,【GAMING | MINECRAFT】Bangun Base dan Keliling Desa Tsuki no Usagi!,2025-11-27T16:55:20Z,626,95,0
y-_r_I69FKE,【GAMING | HOK】Hehe--- Balik Lagi Ke HOK!,2025-11-26T16:27:43Z,531,99,0
SVtZkhiEE_M,🎧ྀི Muri-Muri!! ₍₍⚞(˶˃ ꒳ ˂˶)⚟⁾⁾🎧ྀི #dance #shortsdance #わたなれ,2025-11-24T10:57:33Z,5950,692,25
929uCrRRDZw,【FREETALK】Share Pengalaman Kalian Pas di CF21!!,2025-11-21T03:22:45Z,488,82,0
rczxmtPjSuY,【GAMING | STELLA SORA】FUYU KETEMU SODARA JAUH! FUYUKA!,2025-11-20T02:01:36Z,543,99,1
OCB0kCAwjx0,"❄️Laptop gaming harga terjangkau, tapi spek DEWA?! ❄️",2025-11-18T08:20:12Z,735,115,9
ZAsQbcsbAgU,【KARAOKE】 Vocaloid dan Honeyworks Song Boleh Direquest! #shorts,2025-11-13T16:53:27Z,1314,159,0
oxBZqPJO30w,【GAMING | R.E.P.O】Menjadi Maling Sama Ciwi-ciwi Cantik~!,2025-11-12T16:32:49Z,629,101,0
abvwUrwcetg,【GAMING | MLBB】FUYU BISA MAIN KIMMY LOH!,2025-11-08T11:05:30Z,923,140,0
vv70RIDEMbc,【FREETALK】Basa Basi Hari Ini Apa Ya?,2025-11-07T16:16:23Z,693,112,1
32gqTRukX8g,【GAMING | PEAK】UPDATE BARUUUUU LESGO BERPETUALANG!,2025-11-06T18:49:48Z,966,144,0
VcQRg99Obj4,"🎧ྀི♪⋆.✮ Knock, knock, knock...... #dance #shorts #vtuber",2025-11-06T06:49:00Z,7171,960,32
xRVHykfL5Jw,【GAMING | GENSHIN IMPACT】Lanjutin Quest Lawan Rerir!!,2025-11-05T14:15:37Z,809,141,0
tIN8F7E3S5M,【GAMING | MLBB】Main Bareng Yuk! Fuyu Udah Glory!,2025-11-01T12:39:31Z,1578,189,1
5FtYMczz9s8,🔥 BANJIR HADIAH 11.11 dari RRQ Top Up Buat Kamu Pemain Mobile Legend!! 🔥,2025-10-31T07:36:03Z,3090,395,12
Zba7Vjp6Sn8,【GAMING | ROBLOX】SIANG SIANG MAIN HORROR ROBLOX BIAR GA TAKUT!!!,2025-10-30T11:29:45Z,713,117,0
4OEsznj0_PY,"❄️Kamu Bertanya, Fuyu Menjawab “PART II” is here!! ❄️",2025-10-30T11:19:47Z,2029,212,9
bikGtZZIxe4,【FREETALK + KARAOKE?】Hai! Gimana Kabar Kalian? #shorts,2025-10-26T08:53:06Z,2470,243,1
sI4ZUqpoT7I,【GAMING | MLBB】AKU MUAK GA NAIK NAIK KE GLORY!!!,2025-10-25T07:44:36Z,1692,171,0
4CZm-H_6HlA,【GAMING | DARK HOURS】BELAJAR MENJADI MALING!! ​,2025-10-23T16:35:22Z,689,89,0
y44LEho_LMo,【GAMING | LITTLE NIGHTMARE III】PETUALANGAN TERAKHIR! #ESKRIMKLEPON  w/ @ThalitaSylvaine,2025-10-21T15:13:13Z,486,86,0
R-wcAr8f9jQ,【GAMING | MLBB】Apakah Aku Bisa Ke Glory?,2025-10-18T13:41:17Z,1673,187,1
-kCJJjNeWsc,【GAMING | LITTLE NIGHTMARE III】BERSAMA #ESKRIMKLEPON KITA BISA LANJUTKAN! w/ @ThalitaSylvaine,2025-10-16T16:03:42Z,725,100,2
I0Cyb3VLmc4,"❄️Garansi itu Bukan Bonus, Tapi Kebutuhan!❄️",2025-10-15T05:31:05Z,801,105,4
0LEn_xNopwM,【GAMING | LITTLE NIGHTMARE III】KITA MULAI PERJALANAN INI DENGAN @ThalitaSylvaine !!,2025-10-14T16:10:55Z,783,112,1
eoVRctkzaUk,【GAMING | MLBB】Duo Cantik Ini Beraksi! with @AlizaConstanteIV,2025-10-11T07:56:27Z,1390,150,1
BN0xCrnybD4,【FREETALK】Kalian Ga Dateng Nanti Aku Ngambek Lho!,2025-10-11T02:26:06Z,729,141,1
B8xvG8yZwYA,【GAMING | House Flipper】Vtuber OCD Ini Memainkan Game Bebenah!,2025-10-09T14:46:53Z,562,99,0
zeQfjqs-CSs,【FREETALK】VTUBER INI GAJADI FREETALK PAGI KARENA KESIANGAN!,2025-10-05T10:42:57Z,734,114,1
E-GlINdSwJI,【GAMING | MLBB】Semoga Bisa Ke Mythic Hari Ini Dan Tidak Lose Streak!,2025-10-04T17:44:44Z,1164,133,0
OF4y1g6TnmA,【GAMING | LITTLE NIGHTMARE III DEMO】AAAA GASABAR FULL RILIS!,2025-10-03T03:46:32Z,515,90,1
4NSPQbgB704,【GAMING | MLBB】HAIII! RESET SEASON MAIN YUKK!,2025-09-30T10:37:01Z,965,147,0
7pmQRg3KIS8,"KAMU BERTANYA, FUYU MENJAWAB! Part.1 🎮💻",2025-09-30T10:23:45Z,1081,126,4
wEahrUbirY8,【GAMING | GENSHIN IMPACT】Kita Selesaikan Quest Menumpuk Ini!,2025-09-17T18:37:56Z,826,128,3
Frv4KZI72D0,【GAMING | CONTENT WARNING】Konten Fire Friendly with Membership,2025-09-15T15:24:34Z,572,115,0
Wzee2YthDJA,LAPTOP BRAND LOKAL INI KEREN BANGETTT!!!🔥🔥🔥,2025-09-15T08:50:56Z,885,136,14
9CEBtAoTeKo,【GAMING | MLBB】Semoga bisa Immo~! (Membership Fuyusagi Only),2025-09-14T13:15:00Z,1176,139,0
GM3KKaddnDo,【GAMING | Umamusume: Pretty Derby】Berkuda Sambil Freetalk~!,2025-09-12T15:29:01Z,569,109,0
1dOZrtfS03A,【GAMING | MLBB】OTW IMMO~! Main Bareng Yuk!!,2025-09-07T12:48:14Z,1205,155,1
rk-p3EB9D98,【#BuntalBirthday25】Yey Fuyu Ulang Tahunn~! Aku Tambah Besar Kali ini~!❄️🐰,2025-09-06T16:23:24Z,1450,262,5
ozaMBLTC_4I,【GAMING | PEAK】Menjadi Pemandu Ciwi-ciwi Cantik Untuk Memuncak~!,2025-09-04T16:54:39Z,852,160,2
bkFOtRuGEWY,【GAMING | MAGE ARENA】Akankah Fuyu Bisa Spell Sihirnya Dengan Baik dan Benar?,2025-09-04T04:34:01Z,604,119,1
aUbGoUxFme0,LAPTOP GAMING KESAYANGAN FUYU!🔥,2025-08-30T12:24:54Z,4141,578,19
gWJ_Rh5RATo,【Fuyu Teach Me!】Kalian Mau Belajar Dari Manah? Dosen Fuyu Akan Ngajarin Kalian!,2025-08-27T16:10:56Z,938,153,1
Knj1zwcTzCY,【FREETALK】Ohafuyu~! ❄️🐰 Weekend Pagi Gini Enaknya Ngapain Yah?,2025-08-24T05:13:27Z,1035,177,1
h13IbdZ6T0o,【GAMING | HOK】DAJI FUYU BERAKSI--- Atau bakal kerjaannya ngumpet di rumput terus?,2025-08-22T14:31:07Z,711,128,2
oB5Lne8dmtQ,【GAMING | MLBB】VTUBER INI PUNYA MMR ZETIAN OTW 4000!!! Road To Immortal!,2025-08-21T17:30:53Z,1170,159,1
0o6rlpV_wTE,【GAMING | ROBLOX】SARANKAN AKU GAME ROBLOX HORROR!,2025-08-20T10:46:29Z,709,116,1
PNicVjnf9LA,【GAMING | PEAK】ASCENT 4 SOLO GAS! :D,2025-08-19T14:43:31Z,552,103,0
NgpyuyFvPl0,【GAMING | Lomba 17-an Bersama Fuyumi】Kalian Bisa Dapatkan Hadiah Dari MAHA5 Disini!,2025-08-17T15:23:33Z,916,154,0
OYiBTQTHtDc,【FREETALK】 Besok Kalian Free Ga?,2025-08-16T20:50:47Z,723,137,2
0LetjYT0f0E,【GAMING | HOK】Ketagihan Main Shi Kayaknya Inih,2025-08-15T16:38:04Z,723,131,1
P1fxLmaXCz8,【GAMING | MLBB】FUYU APAKAH BISA GLORY???,2025-08-14T17:44:34Z,1242,170,0
gi0WuCJVnl4,【#MeroHaru25】CHARITY DENGAN LAGU-LAGU IMUT ANIME!!✨,2025-08-09T11:34:39Z,998,197,1
0oaNzA9zYGw,【GAMING | MLBB】AKU PUNYA IDEEEEE! AYO SESEKALI MAIN CLASSIC KALAU SUDAH HONOR!,2025-08-07T17:01:32Z,1026,155,1
cvjP9ioVAig,【GAMING | HOK】Main MOBA Disaat Kedatangan Tamu! Mode Serius (?),2025-08-06T15:06:46Z,870,152,1
ZMTWjIviHgE,【GAMING | ROBLOX】FUYU MENCOBA MAIN ROBLOX!,2025-08-05T11:38:20Z,1558,233,0
qshOGsiCVvs,"✨ Ikutan trend joged Layang-layang, tapi ga pakai karakter roblox :D #maha5 #dance #fuyumicelestia",2025-08-04T04:54:25Z,9652,1357,74
UyAwHvTUsbE,Kata siapa kalian doang yg bisa stecu-stecu dan velocity? Fuyu juga bisaaa~! ✨ #vtuberindonesia,2025-08-03T03:12:17Z,9651,1307,71
U63qej9D7L4,【#FuyumiCelestia3D】 After Talk 3D dan Lihat-lihat Hadiah #buntalversary Dari Kalian! 🐡💙,2025-08-02T19:35:58Z,1637,273,6
sit85XvumFU,【GAMING | MLBB】Mythic Honor Sih Harusnya Kali Ini!!!,2025-07-31T15:31:52Z,981,163,0
_8XD6GOFSko,🎮✨ PONGO 760 V2 as My Daily Driver! ✨#PONGO #PONGO760v2 #VTuber #AllInOneLaptop,2025-07-31T10:00:16Z,1648,204,10
4A3m3RaQSs4,【GAMING | HOK】Fuyu Main Luban Nih Boss!!,2025-07-30T09:47:51Z,1117,198,1
y2fYX2H7eu8,【#Buntalversary】 Debut 3D Fuyumi Celestia! ❄️🐰 #FuyumiCelestia3D,2025-07-27T21:27:58Z,4781,718,36
yeN2YzFd7fs,【Teaser 3 - #Buntalversary 】⋆˙⟡ Preparation~! ⟡˙⋆,2025-07-26T10:01:35Z,990,115,41
cq4M96VTUAE,"【Sabtu Ceria Bersama Fuyumi!】 Fuyu Excited, Kalian Excited Juga Ga? #Buntalversary",2025-07-26T03:14:45Z,1264,193,9
b9YkxqhE4Sc,【Teaser 2 - #Buntalversary 】⋆˙⟡ Look at me! ⟡˙⋆,2025-07-25T10:01:06Z,689,101,43
zLLtkJE_xUc,【GAMING | MLBB】AYUK PERBANYAK CUSTOM DISINI~! :D,2025-07-24T17:22:35Z,1193,157,0
