id,title,publishedAt,viewCount,likeCount,commentCount
DUs5hXbN41A,【GRADUATION STREAM】Terima kasih untuk semuanya!,2025-05-31T15:19:34Z,110701,11764,571
i2jL-PvjV6o,last morning stream?,2025-05-31T06:11:16Z,16289,1778,34
HkE0PRM8e08,aku bangun,2025-05-30T05:05:55Z,6084,680,16
k16aCr16ws0,【REPO】multi language comms?!! @PiaMeraleo-JKT48V @Maru_Nanamona @KanraDeity,2025-05-30T03:16:23Z,3413,402,6
AAiaQRYbM_U,【Marvel Rivals】ktp marvel yea,2025-05-27T21:18:52Z,2925,333,3
oOscolnJBJw,kok aku jd main horor gni y,2025-05-26T08:12:51Z,4295,545,14
m5jRQ5SntrM,nemenin idol srat srot,2025-05-26T03:06:55Z,3627,426,10
HqXNLM9iquc,temenin aku yapping (gatau mau yap tentang apa),2025-05-24T07:12:50Z,3628,442,15
JnDqoskUE_g,【It Takes Two】 akankah tes kemistri ini selesai?,2025-05-23T15:29:44Z,47769,3139,42
FO8Rr5Pt4A4,【It Takes Two】 kita selesaikan tes kemistri,2025-05-19T13:29:50Z,24902,2106,48
ha_m-Ur_iEc,【KLIK48V】Keseruan Live Kita 48V | #KLIK48V Ep. 0,2025-05-17T10:16:35Z,4326,597,12
RjLuU0vhc4k,【MEMBERSHIP】asik mabar,2025-05-17T02:24:25Z,2845,429,18
zw-gQ-HWANM,【Marvel Rivals】asik fullteam,2025-05-13T14:13:49Z,4588,669,5
TaJQ_MJ1GBE,menjawab pertanyaan kamu!,2025-05-11T08:35:39Z,3471,482,11
px6JvYyGyOI,【Post Talk 】Jangan Panggil Diriku Idol,2025-05-09T10:18:00Z,4469,619,16
jydU7Cj3b48,【MV】Jangan Panggil Diriku Idol - Kanaia Asa & Tana Nona JKT48V,2025-05-09T09:00:06Z,23151,2305,208
c7en9S8dgGg,09.05.2025,2025-05-08T12:00:15Z,6802,650,86
UbYVPb4kvOA,Kita obrolin yuk?,2025-05-07T10:47:21Z,8973,1305,32
e9i9LNJ0AdI,Cute dance with 卒魚 友達 🤝💙  JKT48V #KanaiaJKT48V #けものフレンズ,2025-05-07T06:15:06Z,16528,1976,63
2JypJhtvosY,Pengumuman,2025-05-05T13:13:12Z,60639,7515,921
TNWuzm5LMEg,【Marvel Rivals】hm,2025-05-03T22:55:40Z,1801,229,2
rdO5DLrpxQE,pagi,2025-05-01T13:05:56Z,2116,272,11
439blRa5MmE,After Talk Ori Song!,2025-04-30T13:46:56Z,1728,265,6
dTE_TbM2jE4,かなよび (Kanayobi) 【Kanaia Asa - JKT48V】,2025-04-30T12:00:06Z,13828,1386,146
1F1cN8mtelY,30.04.2025 | 19:00 WIB | かなよび (Kanayobi) - Kanaia Asa,2025-04-28T07:50:03Z,1312,156,28
1dK3Jm2hKBY,halo,2025-04-27T16:34:53Z,2188,327,3
du0W22ku48c,hmp,2025-04-13T03:28:04Z,2998,372,3
fHrsJMEHBbM,【inZOI】mmf aku fomo bgt【Kanaia Asa - JKT48V】,2025-04-09T14:24:32Z,3507,402,4
Re-xCKLUcSg,【100% ORANGE JUICE】this is new.. @PiaMeraleo-JKT48V @ONShannon_ @MichiMochievee,2025-04-09T03:13:34Z,2719,295,2
OjBrJtkWLt8,hewoo! sebentar saja~【Kanaia Asa - JKT48V】,2025-04-07T11:32:11Z,1827,281,5
VEwFg6dhts4,"【SOLO 3D SHOW】Sambut Ombak, Raih Mimpi! Aquatic Daydream by Kanaia Asa! #KanaDayDream",2025-03-22T11:02:21Z,14670,1602,87
4h6X38F5pQ4,cover baruuu!【Kanaia Asa - JKT48V】,2025-03-21T00:00:41Z,3261,403,5
nsbK62FEHUA,【MV】Rapsodi - Kanaia Asa JKT48V,2025-03-20T10:00:07Z,66909,4463,263
K6Jfbe1xWS0,ngobrol yukk!【Kanaia Asa - JKT48V】,2025-03-18T15:35:59Z,1912,273,8
_5HT9hS_w-Y,20.03.2025,2025-03-18T10:00:19Z,2893,328,44
UhqSO_mMCbs,Aquatic Daydream – Kanaia Asa 3D First Look,2025-03-18T08:30:04Z,1646,156,15
zq288UfzOq0,【SSK】sabur gusy #2 【JKT48V】,2025-03-14T09:40:59Z,2505,343,3
5ZGEF8tAD4I,【SSK】perdana sahur bareng kita @PiaMeraleo-JKT48V 【JKT48V】,2025-03-11T22:30:03Z,5862,610,8
Kg6T3X7Go40,"KᗩᒪIᗩᑎ ᗷEᖇTᗩᑎYᗩ, ᗩKᑌ ᒍᗩᗯᗩᗷ【Kanaia Asa - JKT48V】",2025-03-10T13:46:56Z,3255,392,5
3YjaZ5kct14,【Marvel Rivals】gemink with piawak【JKT48V】,2025-03-06T13:58:08Z,2417,323,0
nQQD0KOFxoA,【Marvel Rivals】gemink with the girlz 【JKT48V】,2025-03-04T10:41:03Z,2741,319,2
qXPdVu8r_jA,【TOTSUMACHI】Bersama orang yang kusayangi【Kanaia Asa - JKT48V】,2025-03-01T15:23:33Z,25566,2309,49
fVMkIIydJjY,【BDAY COUNTDOWN】20!! qwq【Kanaia Asa - JKT48V】,2025-02-28T19:21:04Z,6158,578,14
LCsfm56Vp-M,Aku pulang!! ngobrol yuk!【Kanaia Asa - JKT48V】,2025-02-26T02:24:10Z,1972,272,2
pBite190hyE,2.0 post talk! 【Kanaia Asa - JKT48V】,2025-02-15T14:27:23Z,2907,369,2
MXYCTK3EXrU,【2.0 CELEBRATION】KTP Menjawab Teori Kalian!! #KeyToParadise,2025-02-14T17:00:30Z,7114,748,7
lwISjoN8l4U,【NEW OUTFIT REVEAL】 Kanaia Asa JKT48V 2.0 Showcase #KeyToParadise #KanaBaru,2025-02-14T14:30:24Z,8531,821,19
fNyibWFc0Xo,apa tuu【Kanaia Asa - JKT48V】,2025-02-09T12:25:18Z,3037,391,3
yLdLpZe0bMo,JKT48V「Key To Paradise」Kanaia Asa Ver.,2025-02-09T10:01:05Z,3955,441,49
XZ1kprg5hX4,ngobrol sambil mancing【Kanaia Asa - JKT48V】,2025-02-08T01:45:51Z,1105,185,1
0VDLQldlM-k,makan ikan sambil mancing【Kanaia Asa - JKT48V】,2025-02-05T01:57:46Z,1106,193,0
v96GAL4gx78,【#NYNSWIN #YKZACTAPEXLEGENDS】 yippie【Kanaia Asa - JKT48V】,2025-02-01T11:06:17Z,2899,310,1
w6orWQ2i7Hc,Scrim turni apek gusy【Kanaia Asa - JKT48V】,2025-01-26T15:16:24Z,2044,272,1
